employee_id,first_name,last_name,email,phone_number,hire_date,job_id,salary,commission_pct,manager_id,department_id,,,salary
100,Steven,King,SKING,515.123.4567,6/17/1987,AD_PRES,150000,NULL,NULL,90,,,make 
104,Bruce,Ernst,BERNST,590.423.4568,5/21/1991,IT_PROG,20786.59,0.01,103,60,,,
105,David,Austin,DAUSTIN,590.423.4569,6/25/1997,IT_PROG,16625.4,0.01,103,60,,,
106,Valli,Pataballa,VPATABAL,590.423.4560,2/5/1998,IT_PROG,16625.4,0.01,103,60,,,
107,Diana,Patel,DLORENTZ,590.423.5567,2/7/1999,IT_PROG,14546.62,0.01,103,60,,,make cahnge in last_name
108,Nancy,Greenberg,NGREENBE,515.124.4569,8/17/1994,FI_MGR,31432.17,0.01,101,100,,,
109,Daniel,Faviet,DFAVIET,515.124.4169,8/16/1994,FI_ACCOUNT,23574.43,0.01,108,100,,,
110,John,Chen,JCHEN,515.124.4269,9/28/1997,FI_ACCOUNT,21484.76,0.01,108,100,,,
111,Ismael,Sciarra,ISCIARRA,515.124.4369,9/30/1997,FI_ACCOUNT,20176.75,0.01,108,100,,,
112,Jose Manuel,Urman,JMURMAN,515.124.4469,3/7/1998,FI_ACCOUNT,20433.27,0.01,108,100,,,
113,Luis,Popp,LPOPP,515.124.4567,12/7/1999,FI_ACCOUNT,18074.98,0.01,108,100,,,
114,Den,Raphaely,DRAPHEAL,515.127.4561,12/7/1994,PU_MAN,28817.36,0.01,100,30,,,
115,Alexander,Khoo,AKHOO,515.127.4562,5/18/1995,PU_CLERK,9680,0.01,114,30,,,
116,Shelli,Baida,SBAIDA,515.127.4563,12/24/1997,PU_CLERK,7601.22,0.01,114,30,,,
117,Sigal,Tobias,STOBIAS,515.127.4564,7/24/1997,PU_CLERK,7332.6,0.01,114,30,,,
118,Guy,Himuro,GHIMURO,515.127.4565,11/15/1998,PU_CLERK,6807.46,0.01,114,30,,,
119,Karen,Colmenares,KCOLMENA,515.127.4566,8/10/1999,PU_CLERK,6550.94,0.01,114,30,,,
120,Matthew,Weiss,MWEISS,650.123.1234,7/18/1996,ST_MAN,20959.62,0.01,100,50,,,
121,Adam,Fripp,AFRIPP,650.123.2234,4/10/1997,ST_MAN,21484.76,0.01,100,50,,,
122,Payam,Kaufling,PKAUFLIN,650.123.3234,5/1/1995,ST_MAN,20701.89,0.01,100,50,,,
123,Shanta,Vollman,SVOLLMAN,650.123.4234,10/10/1997,ST_MAN,17023.49,0.01,100,50,,,
124,Kevin,Mourgos,KMOURGOS,650.123.5234,11/16/1999,ST_MAN,15190.34,0.01,100,50,,,
125,Julia,Nayer,JNAYER,650.124.1214,7/16/1997,ST_CLERK,8384.09,0.01,120,50,,,
126,Irene,Mikkilineni,IMIKKILI,650.124.1224,9/28/1998,ST_CLERK,7076.08,0.01,120,50,,,
127,James,Landry,JLANDRY,650.124.1334,1/14/1999,ST_CLERK,6294.42,0.01,120,50,,,
128,Steven,Markle,SMARKLE,650.124.1434,3/8/2000,ST_CLERK,72600,0.01,120,50,,,
129,Laura,Bissot,LBISSOT,650.124.5234,8/20/1997,ST_CLERK,8640.61,0.01,121,50,,,
130,Mozhe,Atkinson,MATKINSO,650.124.6234,10/30/1997,ST_CLERK,7332.6,0.01,121,50,,,
131,James,Marlow,JAMRLOW,650.124.7234,2/16/1997,ST_CLERK,6550.94,0.01,121,50,,,
132,TJ,Olson,TJOLSON,650.124.8234,4/10/1999,ST_CLERK,8000,0.01,121,50,,,
133,Jason,Mallin,JMALLIN,650.127.1934,6/14/1996,ST_CLERK,8640.61,0.01,122,50,,,
134,Michael,Rogers,MROGERS,650.127.1834,8/26/1998,ST_CLERK,7601.22,0.01,122,50,,,
135,Ki,Gee,KGEE,650.127.1734,12/12/1999,ST_CLERK,6294.42,0.01,122,50,,,
136,Hazel,Philtanker,HPHILTAN,650.127.1634,2/6/2000,ST_CLERK,8000,0.01,122,50,,,
137,Renske,Ladwig,RLADWIG,650.121.1234,7/14/1995,ST_CLERK,9434.37,0.01,123,50,,,
138,Stephen,Stiles,SSTILES,650.121.2034,10/26/1997,ST_CLERK,8384.09,0.01,123,50,,,
139,John,Seo,JSEO,650.121.2019,2/12/1998,ST_CLERK,7076.08,0.01,123,50,,,
140,Joshua,Patel,JPATEL,650.121.1834,4/6/1998,ST_CLERK,6550.94,0.01,123,50,,,
141,Trenna,Rajs,TRAJS,650.121.8009,10/17/1995,ST_CLERK,9165.75,0.01,124,50,,,
142,Curtis,Davies,CDAVIES,650.121.2994,1/29/1997,ST_CLERK,8127.57,0.01,124,50,,,
143,Randall,Matos,RMATOS,650.121.2874,3/15/1998,ST_CLERK,6807.46,0.01,124,50,,,
144,Peter,Vargas,PVARGAS,650.121.2004,7/9/1998,ST_CLERK,6550.94,0.01,124,50,,,
145,John,Russell,JRUSSEL,011.44.1344.429268,10/1/1996,SA_MAN,48505.27,0.4,100,80,,,
146,Karen,Partners,KPARTNER,011.44.1344.467268,1/5/1997,SA_MAN,40671.73,0.3,100,80,,,
147,Alberto,Errazuriz,AERRAZUR,011.44.1344.429278,3/10/1997,SA_MAN,36149.96,0.3,100,80,,,
148,Gerald,Cambrault,GCAMBRAU,011.44.1344.619268,10/15/1999,SA_MAN,33143.11,0.3,100,80,,,
149,Eleni,Zlotkey,EZLOTKEY,011.44.1344.429018,1/29/2000,SA_MAN,31628.19,0.2,100,80,,,
150,Peter,Tucker,PTUCKER,011.44.1344.129268,1/30/1997,SA_REP,30125.37,0.3,145,80,,,
151,David,Bernstein,DBERNSTE,011.44.1344.345268,3/24/1997,SA_REP,28621.34,0.25,145,80,,,
152,Peter,Hall,PHALL,011.44.1344.478968,8/20/1997,SA_REP,27118.52,0.25,145,80,,,
153,Christopher,Olsen,COLSEN,011.44.1344.498718,3/30/1998,SA_REP,24099.57,0.2,145,80,,,
154,Nanette,Cambrault,NCAMBRAU,011.44.1344.987668,12/9/1998,SA_REP,22596.75,0.2,145,80,,,
155,Oliver,Tuvault,OTUVAULT,011.44.1344.486508,11/23/1999,SA_REP,21093.93,0.15,145,80,,,
156,Janette,King,JKING,011.44.1345.429268,1/30/1996,SA_REP,30125.37,0.35,146,80,,,
157,Patrick,Sully,PSULLY,011.44.1345.929268,3/4/1996,SA_REP,990000,0.35,146,80,,,
158,Allan,McEwen,AMCEWEN,011.44.1345.829268,8/1/1996,SA_REP,27118.52,0.35,146,80,,,
159,Lindsey,Smith,LSMITH,011.44.1345.729268,3/10/1997,SA_REP,24099.57,0.3,146,80,,,
160,Louise,Doran,LDORAN,011.44.1345.629268,12/15/1997,SA_REP,22596.75,0.3,146,80,,,
161,Sarath,Sewall,SSEWALL,011.44.1345.529268,11/3/1998,SA_REP,21093.93,0.25,146,80,,,
162,Clara,Vishney,CVISHNEY,011.44.1346.129268,11/11/1997,SA_REP,31628.19,0.25,147,80,,,
163,Danielle,Greene,DGREENE,011.44.1346.229268,3/19/1999,SA_REP,28621.34,0.15,147,80,,,
164,Mattea,Marvins,MMARVINS,011.44.1346.329268,1/24/2000,SA_REP,21692.88,0.1,147,80,,,
165,David,Lee,DLEE,011.44.1346.529268,2/23/2000,SA_REP,20482.88,0.1,147,80,,,
